# regs_2057_rev8, estratta da wlDSL-3580_EU.o_save (wl 6.30.102.7).
#
# Il record del blob e' sei byte: u16 address, u16 init, u8 do_init, u8 pad.
# 413 record, 2478 byte, l'ultimo e' il terminatore 0xffff.
#
# `patches/b43/MESSAGES.md#0013` porta in b43 solo le 39 voci con do_init=1, che sono quelle
# che il driver proprietario scrive davvero all'init del radio. Le altre 373
# stanno qui perche' sono dati che abbiamo e che serviranno: 51 di esse le
# riprogramma il cambio canale dalla chantab, 322 non le scrive nessuno.
# Vedi docs/gap-inventory.md 4h.
#
# Si rigenera con:
#   ./reverse-tools/blob_tables.py --dump regs_2057_rev8 -- <blob>
#
#
# La riga che si puo' tracciare fra le 412, e che le partiziona senza sovrapporsi:
#
#   init      39   il flag del blob: le scrive all'init del radio. Sono quelle
#                  che patches/b43/MESSAGES.md#0013 porta in b43.
#   chan      51   le riprogramma il cambio canale o una cal, dalla chantab e non
#                  da qui: vcocal, RFPLL loopfilter, MMD, i LOGEN_*_TUNE. 31
#                  scritture ciascuna nella cattura, uno per cambio canale.
#   altrarev  42   hanno il flag in regs_2057_rev4/rev5/rev5v1/rev7 di brcmsmac
#                  ma non nel rev8: la tabella e' un superset condiviso fra
#                  revisioni e il flag seleziona.
#   ignota   280   nessuna revisione le segna e nessuno le scrive, mai, in 70796
#                  record. La distribuzione per banco e' da ricalcolare, vedi
#                  docs/gap-inventory.md 4h.
#
# I 21 registri che il rev8 di brcmsmac segna e il blob no cadono tutti e 21 in
# `altrarev`: brcmsmac scriverebbe all'init l'init di un altro radio. E' il set
# dello stub che impianta il BCM6362 con "Microcode not responding".
#
# addr   init  classe    do_init
0x016b  0x00  altrarev  0
0x016c  0x00  altrarev  0
0x016d  0x00  ignota    0
0x0170  0x00  ignota    0
0x0171  0x77  ignota    0
0x0172  0x77  ignota    0
0x0173  0x77  ignota    0
0x0174  0x77  ignota    0
0x0175  0x00  chan      0
0x0176  0x03  chan      0
0x0177  0x37  chan      0
0x0178  0x03  chan      0
0x0179  0x00  chan      0
0x017a  0x21  chan      0
0x017b  0x02  init      1
0x017c  0x00  chan      0
0x017d  0xaa  chan      0
0x017e  0x00  chan      0
0x017f  0xaa  ignota    0
0x0180  0x00  ignota    0
0x0190  0x00  ignota    0
0x0191  0x77  ignota    0
0x0192  0x77  ignota    0
0x0193  0x77  ignota    0
0x0194  0x77  ignota    0
0x0195  0x00  chan      0
0x0196  0x03  chan      0
0x0197  0x37  chan      0
0x0198  0x03  chan      0
0x0199  0x00  chan      0
0x019a  0x21  chan      0
0x019b  0x02  init      1
0x019c  0x00  chan      0
0x019d  0xaa  chan      0
0x019e  0x00  chan      0
0x019f  0xaa  ignota    0
0x01a0  0x00  ignota    0
0x01a1  0x02  ignota    0
0x01a2  0x0f  ignota    0
0x01a3  0x0f  ignota    0
0x01a4  0x00  altrarev  0
0x01a5  0x00  altrarev  0
0x01a6  0x00  altrarev  0
0x01a7  0x02  ignota    0
0x01a8  0x0f  ignota    0
0x01a9  0x0f  ignota    0
0x01aa  0x00  altrarev  0
0x01ab  0x00  altrarev  0
0x01ac  0x00  altrarev  0
0x01ad  0x84  ignota    0
0x01ae  0x60  ignota    0
0x01af  0x47  ignota    0
0x01b0  0x47  ignota    0
0x01b1  0x00  ignota    0
0x01b2  0x00  ignota    0
0x01b3  0x00  ignota    0
0x01b4  0x00  ignota    0
0x01b5  0x00  ignota    0
0x01b6  0x00  ignota    0
0x01b7  0x05  init      1
0x01b8  0x00  ignota    0
0x01b9  0x00  ignota    0
0x01ba  0x00  ignota    0
0x01bb  0x00  ignota    0
0x01bc  0x00  ignota    0
0x01bd  0x00  ignota    0
0x01be  0x00  ignota    0
0x01bf  0x00  ignota    0
0x01c0  0x00  ignota    0
0x01c1  0x00  altrarev  0
0x01c2  0xa0  init      1
0x01c3  0x00  ignota    0
0x01c4  0x00  ignota    0
0x01c5  0x00  ignota    0
0x01c6  0x00  ignota    0
0x01c7  0x00  ignota    0
0x01c8  0x00  ignota    0
0x01c9  0x00  ignota    0
0x01ca  0x00  ignota    0
0xffff  ----  -        # terminatore
